,LINE,TYPE,EMOTE SPAMMED,Rarity,Possible Source,CLIP - Sound bit,
125,It's a miracle rogue!,Famous line,FeelsStrongMan; PagMan,Rare,Hearthstone era,https://clips.twitch.tv/JollyEvilSeahorseRaccAttack-1yuBXBCFZf8TUZhZ,
126,It's friday!,Song lyric,RebeccaBlack ,Uncommon,Rebecca Black - Friday,https://clips.twitch.tv/IronicBusyLobsterBrokeBack-0TAJA4ACapWKTPcH,
127,It's high noon somewhere in the world,Famous line,Pepepains,Common,"Overwatch, McCree ULT",https://www.youtube.com/watch?v=LE57UIBmBMw,
128,It's OVAH! don't you get it,Famous line,Pepepains,Common,Gross Gore perma banned from twitch,https://clips.twitch.tv/BadColdbloodedMartenPicoMause-kZGLelzj5k0FCAL1,
129,It's the exact same rank!,Famous line,-,Very rare,Hearthstone era,,
130,Winnable!,Random line,ABDULpls; Pepepains,Common,-,https://clips.twitch.tv/RockyNeighborlyPidgeonUnSane-Fq_UmS1YpP9uYZN-,
131,I'VE A BACKPACK I'VE A BACKPACK,Random line,HONEYDETECTED,Rare,HONEYDETECTED (LOUD),https://clips.twitch.tv/FlirtyThankfulTroutDatSheffy-gvLPxqgif9Jdn3h3,
132,"I've a key, ugandan key",Movie line,ZULUL,Common,UGANDAN KEY,https://clips.twitch.tv/FrozenAverageSalsifyBIRB-4h0FNkpQdorCgI-W,
133,I've never seen a woman,Movie line,ZULUL,Rare,Who killed Captain Alex,https://clips.twitch.tv/GentleOpenVanillaKevinTurtle-9QYmguT0ENvvgyN2,
134,Juan deag,Viral Video,pepeSenora ,Very rare,CSGO Meme,https://clips.twitch.tv/MotionlessCourteousCakePhilosoraptor,
135,Just get a house,Famous line,4House ,Uncommon,Forsen plays: Comedy Night,https://clips.twitch.tv/AwkwardDoubtfulKiwiBudStar-2iWTTSMTkGyBv_XC,
136,Just the two of us,Song lyric,Pepepains,Very rare,Grover Washington Jr. feat. Bill Withers - Just The Two of Us,https://clips.twitch.tv/CloudyAbrasiveEggplantSwiftRage-HziNNF98RZfHfUNg,
137,Justice is the man's retribution,Random line,-,Very rare,-,,
138,Kappa 123,Famous line,kappa 123,Uncommon,Old twitch meme,https://clips.twitch.tv/BelovedDifficultStarDAESuppy-R3L-xAc52iaoJXeJ,
139,Keep the change you filithy animal,Movie line,Pepepains,Very rare,Home alone,,
140,King of the castle,Movie line,Pepepains,Uncommon,BORAT,https://clips.twitch.tv/FunnyExquisiteWrenLitty-heAEhRkKEhKJKI50; https://clips.twitch.tv/LongPreciousDiscChefFrank-zGtKrmbQ--jNY952,
141,Ladder goat!,Random line,-,Very rare,[Dopefish] Laddergoat aka What Is Wrong With This Guy?,,
142,Ladies and gentlmen of the arena!,Famous line,forsenCD,Common,Dr. Disrespect,https://clips.twitch.tv/SpicyLovelyPhoneLitFam-j7-H7MIGg0kIfaFx,
143,Leave britney alone!,Viral Video,Pepepains,Very rare,Leave Britney Alone ,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/leave%20britney%20alone.mp3,
144,Legitness!!1!!,Viral Video,Pepepains ,Uncommon,That was legitness,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/that%20is%20legitness.mp3,
